project_name,project_location,project_founder,fund_goal,fund_currency,fund_progress,fund_date_end,fund_supporter,category,goal_tipping point,goal_stretch point,percentagefunded,percstretch,Word_count,Analytic,Clout,Authentic,Tone,Words_per_sentence,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Project Crowd Herd,Armidale,Project Crowd Herd,"100,000",AUD,450,"'Fundraising ended on Nov 14, 2013",7,Food;,"100,000","200,000",0.00450,0.00225,735,91.10,70.70,11.77,66.94,25.34,30.48,41.22,4.76,1.50,0.27,0.68,0.14,0.00,0.41,3.27,7.21,13.47,6.39,3.27,7.48,0.41,10.20,4.76,2.86,0.68,2.59,2.04,3.27,2.72,0.54,0.00,0.00,0.00,6.94,0.00,0.00,0.00,0.00,8.30,2.04,2.72,0.95,0.95,0.54,1.63,0.41,0.27,0.00,0.14,4.90,0.00,0.82,0.00,4.08,8.30,2.86,2.18,3.54,0.68,0.41,1.22,8.03,1.77,10.88,1.09,7.35,2.72,9.25,0.41,0.14,3.13,0.00,0.00,0.41,0.00,0.00,0.14,0.27,0.00,14.56,3.40,7.07,0.68,0.00,0.27,0.27,0.27,0.54,0.54,0.27,1.22
Project Myanmar-Empowering Kids Through the Arts,"Twontay Township, Myanmar",Arts Reaching 4 Corners (ARCO),"4,000",USD,"10,040","'Oct 16, 2017",80,Arts & Culture;Children & Youth;Education;,"4,000","10,000",2.51000,1.00400,421,93.28,85.75,9.98,94.57,23.39,28.74,45.37,7.13,4.04,0.00,0.95,0.48,0.00,2.61,3.09,8.08,16.86,5.23,3.80,6.89,1.43,11.64,3.56,1.19,0.95,2.61,1.43,7.84,6.18,1.66,0.00,0.24,0.48,12.83,0.00,0.00,0.00,0.00,10.45,2.38,2.38,1.19,1.66,2.14,2.14,1.66,0.95,0.71,0.00,0.95,0.00,0.71,0.00,0.24,13.54,3.09,4.75,5.70,1.90,0.00,0.48,9.50,0.95,9.98,1.43,5.46,3.09,6.89,4.51,0.00,0.48,0.00,0.48,0.48,0.00,0.00,0.00,0.48,0.00,13.30,3.80,4.51,0.48,0.00,0.24,0.00,0.95,0.48,1.19,1.43,0.24
Project Piña - Empower Women in Tanzania,"Matipwili, Tanzania, United Republic of",Enactus George Brown,"20,000",CAD,665,"'Fundraising ended on Dec 21, 2017",14,Economic Development;Education;Environment;,"20,000","30,000",0.03325,0.02217,1011,93.30,92.55,10.74,78.36,19.44,29.08,37.19,7.02,4.45,0.10,2.87,0.20,0.10,1.19,2.57,5.44,14.44,4.65,2.57,5.04,0.10,11.57,4.06,1.88,1.19,2.57,2.27,3.36,3.07,0.20,0.10,0.00,0.00,11.97,0.40,0.59,1.09,0.00,7.62,1.38,4.25,0.49,0.99,0.20,0.40,1.68,1.09,0.00,0.49,1.29,0.79,0.30,0.10,0.10,13.85,7.32,4.45,3.56,1.09,0.10,2.47,6.53,0.99,12.27,1.78,7.52,3.26,8.31,1.88,0.49,2.37,0.10,0.00,0.49,0.00,0.30,0.00,0.20,0.00,18.00,4.15,5.84,1.48,0.00,0.30,0.59,0.79,0.20,0.99,1.78,1.88
Project Regenerate,Sydney,Hurstville South Public School P and C Committee,"20,000",AUD,"8,010","'Fundraising ended on Dec 04, 2013",23,Community;,"20,000","75,000",0.40050,0.10680,304,90.70,72.30,12.66,96.51,19.00,27.63,51.64,8.22,2.30,0.00,2.30,0.00,0.00,0.00,5.92,11.84,13.82,9.87,2.63,5.92,0.99,11.51,5.59,1.97,0.66,0.66,1.64,5.59,5.26,0.33,0.00,0.00,0.00,6.58,0.33,0.00,0.00,0.00,9.21,1.32,2.96,0.99,1.32,0.99,1.97,1.97,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,3.95,3.62,4.28,1.64,0.33,0.66,8.88,3.62,11.84,1.64,7.24,2.96,6.91,2.30,0.00,0.66,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,8.55,5.26,1.97,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.66
Project Vida,Rio de Janeiro,Project Vida,"2,500",GBP,125,"'Fundraising ended on Oct 08, 2015",5,Community;,"2,500","10,000",0.05000,0.01250,1032,86.08,86.33,17.56,88.31,17.79,22.19,50.68,11.05,6.98,1.55,2.91,0.58,0.48,1.45,4.07,8.04,15.89,7.46,3.59,6.78,0.39,14.05,4.36,2.62,2.03,1.36,1.55,4.84,4.26,0.58,0.10,0.00,0.19,10.66,0.00,0.10,0.00,0.68,8.24,1.55,2.71,1.65,0.58,0.78,1.26,1.65,0.39,0.78,0.29,1.65,0.58,0.78,0.00,0.19,11.72,5.81,1.94,3.39,1.55,0.29,3.10,8.91,1.65,13.18,1.74,8.33,3.68,6.10,1.36,0.19,1.65,0.00,0.00,0.48,0.00,0.39,0.00,0.10,0.00,11.92,5.33,1.84,0.58,0.00,0.58,0.10,0.58,1.16,1.36,0.00,0.39
Promote Community Resilience in El Salvador,Aguilares ,Community Resilience Circles,"2,400",USD,"3,210","'Dec 23, 2013",14,Community;,"2,400","7,200",1.33750,0.44583,258,89.79,91.24,7.61,95.29,23.45,25.19,43.80,7.36,4.65,0.00,1.55,0.00,1.55,1.55,2.71,4.65,16.67,5.81,2.71,7.36,0.78,11.63,1.94,0.78,0.78,1.55,1.94,6.20,5.43,0.78,0.00,0.78,0.00,14.34,1.16,0.00,1.94,0.39,8.53,3.10,2.33,1.16,0.39,0.39,1.55,1.94,0.00,0.78,0.78,1.94,0.39,1.55,0.00,0.00,12.40,6.98,1.94,3.88,0.00,0.00,0.78,10.08,0.78,10.47,2.33,6.59,2.33,5.43,0.78,0.39,0.39,0.00,0.78,0.39,0.00,0.00,0.00,0.39,0.00,13.95,5.43,4.26,0.00,0.00,0.00,0.00,0.78,0.00,0.39,3.10,0.00
Promote LGBT and Stop The Hate,Los Angeles,TAU Foundation:Tolerance-Acceptance-Understanding,"2,500",USD,160,"'Fundraising ended on May 17, 2013",4,Human Rights;,"2,500","5,000",0.06400,0.03200,358,79.55,91.87,21.18,84.76,29.83,31.56,49.72,13.69,6.15,0.00,5.87,0.00,0.00,0.28,7.54,6.98,14.80,5.59,1.96,8.66,0.84,10.89,4.47,2.23,0.84,0.28,1.68,7.82,5.59,2.23,0.00,1.40,0.00,13.13,0.00,0.28,0.00,0.00,11.73,3.91,1.96,1.12,1.96,0.28,4.19,1.40,0.56,0.28,0.28,1.40,0.00,1.12,0.28,0.00,17.04,8.10,3.07,5.03,1.12,1.12,1.12,8.66,1.40,9.22,0.84,5.87,3.07,9.50,0.28,0.00,1.96,0.84,0.56,0.00,0.00,0.00,0.00,0.00,0.00,17.32,3.07,9.50,0.00,0.00,0.00,0.28,1.68,1.12,1.12,0.00,0.56
Promoting Gender Equality for the Long Run,Addis Ababa,Yaya Girls Running Program,"4,500",USD,"5,365","'Jan 24, 2013",59,Community;,"4,500","11,600",1.19222,0.46250,738,97.00,91.01,37.60,94.34,25.45,29.13,38.08,5.28,2.85,0.00,0.81,0.00,0.27,1.76,2.44,9.08,13.82,5.56,2.17,3.93,0.14,10.16,5.96,1.63,0.41,2.98,2.44,5.83,5.15,0.68,0.00,0.27,0.00,13.28,0.14,0.00,5.28,0.00,6.78,3.25,1.36,0.27,0.68,0.81,0.54,0.41,0.14,0.00,0.14,0.68,0.00,0.68,0.00,0.00,8.40,2.17,3.93,3.66,1.49,0.14,0.95,5.15,3.93,15.85,2.57,8.13,5.42,9.62,1.90,0.14,0.81,0.00,0.00,2.44,0.00,0.14,2.17,0.14,0.00,12.47,4.07,4.47,0.68,0.27,0.00,0.14,1.90,0.00,0.68,0.00,0.27
Promoting Safety Kindness and Respect on Internet,Unspecified,CHILDREN'S iNTERNET SAFETY COUNCIL,"2,650",USD,110,"'Fundraising ended on Jan 11, 2013",5,Children & Youth;,"2,650","10,600",0.04151,0.01038,440,91.66,73.78,38.95,99.00,16.30,24.77,49.55,9.77,5.91,2.73,0.91,0.91,0.00,1.36,3.86,10.68,14.77,6.82,3.18,6.14,0.68,15.23,4.77,1.14,3.18,3.86,1.36,9.32,8.41,0.91,0.00,0.00,0.68,8.86,0.91,0.00,0.23,0.23,9.55,2.95,2.73,1.14,1.14,0.68,0.91,0.45,0.23,0.00,0.23,1.59,0.45,1.14,0.00,0.00,16.82,2.95,4.09,8.18,2.27,2.05,2.05,9.09,3.86,13.86,1.82,7.05,5.23,5.00,0.68,0.00,0.23,0.00,0.00,1.14,0.00,0.91,0.23,0.00,0.00,14.09,5.68,1.59,0.00,0.00,0.91,1.59,0.91,1.36,0.68,0.00,1.36
Promoting Worldwide Education for All...,"West Palm Beach, United States",Debra Robinson,"15,000",USD,"3,900","'Fundraising ended on Feb 19, 2020",23,Children & Youth;Education;Indigenous;,"15,000","20,000",0.26000,0.19500,236,79.63,84.55,16.91,97.07,19.67,29.66,47.46,13.98,10.59,4.66,2.54,1.69,1.69,0.00,3.39,8.05,12.29,7.63,2.54,5.08,0.00,9.75,3.39,0.42,1.69,1.69,0.85,5.08,5.08,0.00,0.00,0.00,0.00,11.02,0.85,0.00,0.00,2.97,5.51,1.69,1.69,0.00,0.42,1.27,0.42,1.69,0.00,0.00,0.85,1.69,0.85,0.42,0.42,0.00,15.25,3.81,6.36,5.93,3.39,0.42,2.54,5.93,1.27,10.17,0.85,6.78,2.54,13.14,0.85,0.00,1.27,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.22,4.66,3.39,0.00,0.00,1.27,0.00,0.42,1.69,2.12,0.85,3.81
Prop up Activity Center for Chinese Minority Kids,Yingpan village,The Prop Roots Program is Going On,"2,000",USD,"2,095","'Aug 21, 2012",9,Education;,"2,000","7,500",1.04750,0.27933,251,94.57,77.54,13.36,63.54,22.82,25.90,47.41,5.98,3.59,0.00,3.19,0.00,0.00,0.40,2.39,9.56,17.13,5.58,3.98,7.97,1.20,8.37,3.98,2.39,0.00,0.40,3.19,2.79,2.39,0.40,0.00,0.00,0.00,8.37,0.00,0.40,0.00,0.00,8.37,0.80,2.79,0.80,0.40,0.80,2.79,0.80,0.40,0.40,0.00,1.59,0.40,0.80,0.80,0.00,10.36,4.38,2.39,2.39,0.80,0.40,1.99,4.78,1.20,11.55,0.80,8.76,1.99,5.58,1.20,0.00,2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.34,4.78,5.18,0.00,0.00,0.40,0.00,0.80,0.80,2.39,0.00,0.00
Protect the Springfield Panhandle,Springfield (Montco) PA,Friends of the Springfield Panhandle,"2,500",USD,210,"'Fundraising ended on Oct 16, 2014",4,Environment;,"2,500","10,000",0.08400,0.02100,528,91.87,91.06,10.42,71.94,29.33,27.46,44.70,10.80,5.11,0.00,3.60,0.76,0.38,0.38,5.68,10.23,12.69,6.63,2.27,4.17,0.00,11.55,2.46,0.95,1.14,3.41,1.89,3.98,3.22,0.76,0.00,0.38,0.00,10.23,0.19,0.38,0.38,0.00,7.01,1.14,1.70,1.52,1.33,0.57,1.14,0.76,0.57,0.00,0.19,0.57,0.19,0.19,0.00,0.19,12.69,6.44,1.52,4.36,1.52,0.76,1.89,8.52,0.57,13.07,0.57,9.09,3.60,2.08,0.57,0.38,0.95,0.00,0.00,0.38,0.00,0.38,0.00,0.00,0.00,24.24,4.92,3.03,0.38,0.00,0.00,0.00,3.41,0.76,1.70,0.38,9.66
Protect Zululand from Coal Mining,"KwaZulu Natal, South Africa",Global Environmental Trust,"100,000",RZAR,"6,450","'Fundraising ended on Dec 31, 2017",15,Environment;Human Rights;,"100,000","200,000",0.06450,0.03225,388,94.63,74.87,12.77,14.99,25.87,28.87,38.66,5.67,3.09,0.26,0.52,0.00,0.00,2.32,2.58,6.70,13.92,5.67,1.29,5.67,0.26,8.51,3.61,1.55,0.26,3.09,1.80,5.41,2.32,3.09,1.03,0.26,0.77,7.47,0.52,0.00,0.52,0.00,4.38,1.29,0.52,0.26,0.77,0.77,0.77,0.26,0.26,0.00,0.00,2.06,1.03,1.03,0.00,0.00,8.76,3.35,1.55,2.32,0.52,1.55,1.29,6.44,0.52,12.11,0.77,9.28,2.06,4.64,0.77,1.03,1.29,0.00,0.26,1.03,0.00,0.77,0.00,0.26,0.00,12.89,4.90,4.12,0.26,0.26,0.00,0.00,0.77,0.00,0.26,0.52,1.80
Protecting those who save others,Norwood,DT4EMS,"1,200",USD,295,"'Fundraising ended on Nov 23, 2012",10,Education;,"1,200","4,500",0.24583,0.06556,300,77.33,92.87,25.24,9.41,20.00,28.00,43.33,12.00,10.00,2.33,6.00,1.00,0.00,0.67,2.00,5.00,12.33,6.67,3.00,5.00,0.67,11.67,2.33,0.33,1.00,1.33,1.33,4.00,1.33,2.67,0.67,1.33,0.33,12.67,0.00,0.00,0.00,0.00,8.00,2.00,2.00,1.33,0.67,0.67,2.00,2.33,1.00,1.00,0.33,2.67,1.00,2.00,0.33,0.00,14.67,7.00,2.00,3.67,0.00,2.33,3.00,9.67,0.33,12.00,2.33,6.67,3.00,5.67,1.00,0.00,0.67,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,18.00,7.33,6.67,0.33,0.00,0.33,0.00,0.00,0.00,0.67,0.67,2.00
Provide Knitted Hats for Those in Need,Cincinnati,Everyone Has A Head,"1,300",USD,215,"'Fundraising ended on Jan 09, 2013",13,Health;,"1,300","5,200",0.16538,0.04135,163,85.77,82.13,10.57,81.16,20.38,24.54,43.56,8.59,3.07,0.00,3.07,0.00,0.00,0.00,5.52,3.07,18.40,6.13,4.91,6.13,1.23,12.27,7.98,4.91,1.23,3.07,2.45,4.91,3.68,0.61,0.00,0.61,0.00,11.66,1.23,0.00,0.00,0.00,11.66,1.84,1.84,1.84,0.61,1.84,4.29,3.68,0.00,0.00,3.68,2.45,1.23,0.61,0.61,0.00,10.43,4.91,2.45,4.91,0.61,0.00,1.23,8.59,0.61,9.20,1.23,4.91,3.07,4.91,0.00,0.61,0.61,0.00,0.00,0.61,0.00,0.00,0.00,0.61,0.00,14.72,4.91,4.91,0.00,0.00,0.00,0.61,2.45,0.00,0.00,1.23,0.61
Providing support to Rural Regional Australia,Tamworth,Rural College of Counselling Studies,"10,000",AUD,"2,190","'Fundraising ended on Apr 29, 2014",12,Community;,"10,000","20,000",0.21900,0.10950,500,72.33,92.77,28.54,4.01,21.74,18.80,53.40,13.80,7.40,0.00,2.00,2.00,0.20,3.20,6.40,5.40,17.80,10.00,5.00,5.00,1.60,15.80,4.80,2.00,1.40,1.60,2.00,6.40,2.00,4.20,0.20,0.00,2.60,14.80,1.20,0.20,0.00,0.20,7.80,1.60,0.20,0.80,3.20,0.40,2.60,1.80,0.60,0.00,1.00,1.80,0.00,1.40,0.00,0.40,11.60,5.40,3.20,2.60,0.80,1.80,1.80,13.60,0.80,14.40,1.60,8.40,4.60,6.00,0.80,1.20,1.00,0.00,0.40,0.20,0.00,0.00,0.00,0.20,0.00,9.60,4.60,2.80,0.00,0.00,0.00,0.00,0.20,0.20,1.80,0.00,0.00
PTSD Suicide Reach Out,"Cambridge, Canada",Carl Waggett,"14,178",CAD,551,"'Fundraising ended on Jan 29, 2017",3,Community;Education;Health;,"14,178","49,688",0.03886,0.01109,284,72.03,55.59,15.02,6.31,18.93,20.07,50.00,13.38,7.39,4.58,0.00,0.00,0.70,2.11,5.99,7.75,11.97,10.21,2.82,3.87,1.76,17.25,2.82,0.70,1.06,1.06,1.76,7.04,2.46,4.23,1.06,0.35,2.46,10.21,0.00,0.70,1.06,1.41,10.56,1.76,1.06,2.46,2.46,0.70,2.46,3.17,1.41,0.35,0.35,2.11,0.35,1.76,0.00,0.00,10.92,3.17,2.11,4.93,2.46,0.35,2.82,13.03,0.35,9.15,1.06,4.23,3.87,1.76,1.41,0.00,0.35,0.35,0.70,0.00,0.00,0.00,0.00,0.00,0.00,15.14,7.39,2.82,0.35,0.00,0.00,1.41,0.70,0.00,1.41,0.70,0.35
"Pure Water For Kantchari, Burkina Faso","Kantchari, Burkina Faso",Annelies Van Bunder,"25,000",EUR,125,"'Fundraising ended on Jun 11, 2018",3,Economic Development;Health;Human Rights;,"25,000","40,000",0.00500,0.00313,268,81.00,97.34,5.81,46.39,15.76,21.27,47.39,13.81,9.70,0.00,4.85,0.75,2.99,1.12,4.10,5.60,14.93,7.46,2.99,3.73,0.75,15.30,4.48,2.99,1.49,3.73,2.24,4.10,2.61,1.49,0.00,0.00,0.37,16.42,0.00,0.37,0.00,2.99,11.57,1.49,2.61,1.49,1.87,2.99,1.87,1.49,1.12,0.00,0.37,3.73,0.00,1.49,0.00,2.24,13.81,7.09,2.99,2.99,3.36,1.12,2.61,11.94,1.12,12.69,1.87,7.84,3.36,3.36,0.37,0.00,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.28,6.34,3.73,0.00,0.00,0.37,0.37,0.00,0.00,3.36,2.99,1.12
Put Girls Center Stage,"Oakland, CA",Glitter and Razz Productions LLC,"25,000",USD,"26,247","'Sep 14, 2013",119,Children & Youth;,"25,000","45,000",1.04988,0.58327,968,73.09,95.56,18.87,52.93,15.87,23.24,46.69,12.60,7.64,0.72,3.10,0.21,0.83,2.79,4.96,4.75,14.05,5.79,3.31,8.37,0.62,13.33,5.37,2.58,1.86,2.17,1.86,7.95,4.55,3.10,0.52,0.83,0.72,17.15,0.21,0.10,4.55,0.31,10.33,2.58,2.69,1.34,0.93,1.34,2.07,2.07,0.10,0.72,0.93,1.86,0.41,0.93,0.10,0.41,14.05,5.79,3.82,3.72,1.55,1.14,2.69,9.71,0.31,12.50,2.27,6.82,3.51,6.20,1.45,0.31,0.10,0.10,0.00,0.21,0.00,0.00,0.10,0.10,0.00,17.56,4.86,6.40,0.21,0.00,0.21,1.24,1.55,2.07,0.62,0.00,0.41
Put Girls Center Stage,"Oakland, CA",Glitter and Razz Productions LLC,"25,000",USD,"26,247","'Sep 14, 2013",119,Children & Youth;,"25,000","45,000",1.04988,0.58327,968,73.09,95.56,18.87,52.93,15.87,23.24,46.69,12.60,7.64,0.72,3.10,0.21,0.83,2.79,4.96,4.75,14.05,5.79,3.31,8.37,0.62,13.33,5.37,2.58,1.86,2.17,1.86,7.95,4.55,3.10,0.52,0.83,0.72,17.15,0.21,0.10,4.55,0.31,10.33,2.58,2.69,1.34,0.93,1.34,2.07,2.07,0.10,0.72,0.93,1.86,0.41,0.93,0.10,0.41,14.05,5.79,3.82,3.72,1.55,1.14,2.69,9.71,0.31,12.50,2.27,6.82,3.51,6.20,1.45,0.31,0.10,0.10,0.00,0.21,0.00,0.00,0.10,0.10,0.00,17.56,4.86,6.40,0.21,0.00,0.21,1.24,1.55,2.07,0.62,0.00,0.41
Put Our Wounded Marines Behind the Plate,Denver,Wounded Warrior Umpire Camp,"7,000",USD,"2,045","'Fundraising ended on May 23, 2014",11,Health;,"7,000","26,000",0.29214,0.07865,374,86.47,78.89,3.57,71.01,20.78,29.68,42.78,7.49,2.67,0.00,0.80,1.07,0.00,0.80,4.81,6.68,12.30,7.75,1.34,6.95,0.53,9.63,1.60,0.80,1.07,3.48,1.60,2.41,2.41,0.00,0.00,0.00,0.00,9.36,0.00,2.14,0.00,0.00,7.49,0.80,0.80,1.07,1.60,1.87,2.67,0.27,0.27,0.00,0.00,4.28,0.27,3.48,0.00,0.53,4.81,3.74,0.80,0.53,0.00,0.00,0.80,6.95,3.21,7.75,2.14,4.01,1.87,6.15,0.53,0.27,2.94,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.90,4.81,3.74,0.00,0.53,0.00,0.00,2.94,0.00,0.00,0.53,1.34
Put Your Heart Into It - Support a leader,"Melbourne, Australia",Laura Issell,"6,000",AUD,"8,115","'Jun 02, 2016",50,Arts & Culture;Community;Environment;,"6,000","9,000",1.35250,0.90167,724,90.58,77.21,65.20,99.00,20.69,30.11,44.89,10.64,7.18,4.56,0.28,1.80,0.00,0.55,3.45,7.73,14.78,4.56,2.62,6.63,0.14,12.29,4.28,2.07,0.97,0.28,0.97,6.91,6.91,0.00,0.00,0.00,0.00,10.91,0.14,0.14,0.00,0.00,10.77,3.73,4.42,0.28,0.69,0.97,0.83,0.97,0.28,0.00,0.55,3.45,1.10,0.28,0.55,0.69,12.71,4.01,6.22,3.45,2.21,0.00,1.10,8.29,1.66,14.50,4.56,7.87,2.76,7.18,1.38,0.14,0.97,0.00,0.00,0.55,0.00,0.14,0.00,0.41,0.00,14.36,5.66,4.97,0.97,0.00,0.14,0.00,1.24,0.00,0.14,0.00,1.24
Queens House Building Project in Nicaragua 2014,Toronto,Companeros Inc Nicaragua,"4,800",CAD,"1,210","'Fundraising ended on Mar 16, 2014",10,Community;,"4,800","7,200",0.25208,0.16806,235,98.07,81.42,21.03,97.13,19.58,29.79,32.34,2.55,1.28,0.00,0.00,0.43,0.00,0.85,1.28,5.53,14.89,5.11,0.43,3.83,0.00,9.79,4.68,2.55,0.00,7.66,2.13,5.11,5.11,0.00,0.00,0.00,0.00,9.36,1.70,1.70,2.13,0.00,4.68,1.70,0.85,0.43,0.43,0.85,0.85,0.43,0.00,0.00,0.43,2.55,0.00,2.13,0.00,0.43,12.34,3.40,2.98,5.96,0.85,0.43,0.00,7.23,3.40,14.04,1.28,10.21,2.55,9.36,1.28,4.68,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.28,6.38,8.51,0.00,0.00,0.00,0.43,1.70,0.00,1.70,0.85,1.70
Race to Save the Fishing Cat,"Phnom Penh, Cambodia",Kla Trey,600,USD,"1,178","'Dec 21, 2018",38,Education;Environment;Social Enterprise;,600,"1,000",1.96333,1.17800,668,89.81,57.72,15.74,88.89,18.56,32.34,42.37,7.34,4.04,1.95,1.20,0.45,0.00,0.45,3.29,6.14,15.27,6.89,3.29,6.14,0.45,11.38,3.89,1.65,1.20,2.10,1.05,5.84,4.79,1.05,0.45,0.45,0.15,4.19,0.15,0.15,0.00,0.00,7.19,1.65,1.65,0.75,0.60,1.05,1.50,0.30,0.15,0.00,0.15,0.90,0.00,0.30,0.15,0.30,8.53,2.69,1.50,2.99,0.60,1.95,1.65,9.43,0.75,10.63,1.80,6.44,2.40,3.59,3.44,0.60,0.90,0.00,0.00,0.15,0.00,0.15,0.00,0.00,0.00,13.92,3.59,3.59,0.30,0.75,0.60,1.20,1.50,0.30,1.20,0.30,0.60
Racing for the Fence,"Fulton, United States",Tammy Sehn,"25,000",USD,940,"'Fundraising ended on Sep 22, 2019",10,Children & Youth;,"25,000","40,000",0.03760,0.02350,392,93.08,95.85,14.08,69.07,12.25,17.86,45.92,11.48,7.65,0.00,3.83,1.02,0.00,2.81,3.83,9.18,15.82,6.89,1.53,4.34,0.51,11.73,3.57,1.28,0.26,3.57,0.77,2.81,2.55,0.26,0.00,0.00,0.26,13.52,1.02,0.26,0.00,0.00,5.10,1.79,1.28,0.77,0.00,0.77,0.51,1.28,1.02,0.00,0.00,1.02,0.26,0.77,0.00,0.00,14.29,9.18,2.55,2.30,0.77,0.77,1.79,8.93,1.28,13.01,1.02,7.40,4.59,2.30,2.55,1.28,2.55,0.00,0.00,0.26,0.00,0.00,0.26,0.00,0.00,21.17,8.16,7.40,0.26,0.00,0.00,1.02,0.00,0.00,2.04,1.53,0.77
Raising Awareness of Low Dose Naltrexone,Norwich,LDN Research Trust Raising Awareness,"5,000",GBP,"8,515","'Feb 20, 2014",213,Health;,"5,000","15,000",1.70300,0.56767,434,65.35,79.65,12.36,51.65,19.73,23.50,45.85,8.99,4.15,0.23,2.30,1.15,0.00,0.46,4.84,5.53,11.75,10.60,3.92,7.60,1.15,17.28,5.30,3.46,0.69,2.30,3.00,5.99,3.69,2.30,0.46,0.00,1.15,9.68,0.23,0.23,0.00,0.00,12.44,2.07,2.07,3.00,2.53,1.15,3.46,0.69,0.00,0.00,0.23,6.22,0.00,6.22,0.23,0.00,11.06,5.07,3.00,3.92,1.38,0.92,3.23,11.52,2.30,11.29,1.15,6.22,3.92,4.38,1.15,0.23,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.14,4.15,3.92,0.00,0.00,0.46,0.23,0.23,0.00,0.69,0.00,0.46
RAYSE Up Atlanta Lunch for the Homeless ,"Atlanta, United States",Anna Moore-Johnson,"3,000",USD,3,"'Fundraising ended on Aug 07, 2017",,Children & Youth;Community;Food;,"3,000","5,000",0.00100,0.00060,361,95.16,69.09,29.27,95.56,17.19,19.11,50.42,12.19,5.26,2.77,1.66,0.83,0.00,0.00,6.93,9.42,18.01,6.65,2.22,2.77,0.83,14.13,2.49,0.83,0.83,0.55,1.66,5.82,4.99,0.28,0.00,0.00,0.28,8.59,0.28,0.28,0.00,0.00,10.80,1.11,1.66,2.77,1.94,1.66,2.49,2.77,0.83,0.55,1.39,3.32,1.66,0.55,0.00,1.11,7.76,3.60,2.22,1.11,2.77,0.00,0.83,11.36,1.94,14.13,2.22,6.93,5.54,3.05,0.55,0.55,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.67,4.99,5.26,0.00,0.28,0.28,1.39,2.77,2.77,1.11,0.55,0.28
Reach and Strengthen Underserved Families,Portland,Little Adventurers Day Home,"3,450",USD,235,"'Fundraising ended on Apr 10, 2013",6,Children & Youth;Community;,"3,450","12,000",0.06812,0.01958,323,63.17,99.00,28.81,72.18,20.19,24.46,47.37,13.93,9.60,0.00,7.12,1.24,0.00,1.24,4.33,5.57,10.84,6.50,2.79,7.12,1.86,11.15,4.95,1.55,1.24,1.86,1.86,5.57,4.02,1.55,0.00,0.00,1.24,21.05,3.72,0.62,0.00,0.00,10.22,1.55,1.86,2.17,1.24,0.62,4.02,0.93,0.00,0.31,0.00,0.62,0.31,0.31,0.00,0.00,24.15,14.86,2.17,6.19,3.10,0.62,2.79,7.74,0.62,14.24,1.24,6.50,6.50,6.81,3.72,5.26,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,7.74,5.26,0.31,0.00,0.00,0.31,1.55,0.00,0.00,0.62,0.00
REACH: Stop Sexual Abuse,"LONDON - BARCELONA, Spain",REACH,"2,500",GBP,670,"'Fundraising ended on Jul 03, 2017",13,Children & Youth;Community;Social Enterprise;,"2,500","6,000",0.26800,0.11167,1065,36.44,47.75,68.25,35.62,17.75,13.05,54.18,18.31,14.18,9.95,1.78,1.31,0.75,0.38,4.13,3.66,12.39,9.39,4.98,7.23,1.50,15.21,4.69,2.25,1.60,2.72,3.47,5.73,3.10,2.54,0.38,0.56,0.85,11.08,0.47,0.38,0.85,0.28,13.05,3.00,2.07,2.07,3.19,1.13,3.29,1.50,0.09,0.56,0.75,2.35,0.38,1.41,0.56,0.00,11.08,5.07,2.63,3.85,0.85,0.66,4.88,10.70,0.38,10.42,0.94,4.79,4.23,3.19,0.75,0.56,2.07,0.09,0.09,0.09,0.00,0.09,0.09,0.00,0.00,13.05,6.76,3.00,0.66,0.00,0.09,0.00,0.47,0.19,0.00,0.94,0.94
